new-zealand|auckland|mobile|2degrees|2880|2023-10-01|29.79|242.87|79.44|17.06|30.61
new-zealand|auckland|mobile|One NZ|2884|2023-10-01|27.24|262.88|82.1|9.88|37.7
new-zealand|auckland|mobile|Spark|3649|2023-10-01|17.5|223.6|66.13|14.81|38.46
new-zealand|bay-of-plenty|mobile|2degrees|2880|2023-10-01|15.83|84.58|42.14|11.21|37.14
new-zealand|bay-of-plenty|mobile|One NZ|2884|2023-10-01|22.04|184.28|67.76|7.02|42.61
new-zealand|bay-of-plenty|mobile|Spark|3649|2023-10-01|18.74|208.42|74.81|7.38|57.83
new-zealand|canterbury|mobile|2degrees|2880|2023-10-01|32.4|178.51|72.11|13.76|54.76
new-zealand|canterbury|mobile|One NZ|2884|2023-10-01|32.22|344.26|102.18|11.13|59.6
new-zealand|canterbury|mobile|Spark|3649|2023-10-01|15.14|186.86|55.91|10.05|67.15
new-zealand|manawatu-wanganui|mobile|2degrees|2880|2023-10-01|25.3|125.82|50.86|12.74|49.72
new-zealand|manawatu-wanganui|mobile|One NZ|2884|2023-10-01|31.66|248.2|87.46|8.37|54.67
new-zealand|manawatu-wanganui|mobile|Spark|3649|2023-10-01|15.25|146.02|57.43|9.09|67.2
new-zealand|otago|mobile|2degrees|2880|2023-10-01|25.16|226.99|67.07|11.69|65.35
new-zealand|otago|mobile|One NZ|2884|2023-10-01|16.59|126.41|47.66|7.3|71.41
new-zealand|otago|mobile|Spark|3649|2023-10-01|16.1|143.9|56.15|8.02|76.14
new-zealand|waikato|mobile|2degrees|2880|2023-10-01|16.43|77.72|38.89|9.73|36.86
new-zealand|waikato|mobile|One NZ|2884|2023-10-01|25.37|180.37|68.8|8.1|42.32
new-zealand|waikato|mobile|Spark|3649|2023-10-01|15.54|183.86|68.49|8.74|57.18
new-zealand|wellington|mobile|2degrees|2880|2023-10-01|30.75|266.19|83.61|19.68|45.51
new-zealand|wellington|mobile|One NZ|2884|2023-10-01|29.24|220.38|67.42|10.46|56.59
new-zealand|wellington|mobile|Spark|3649|2023-10-01|39.11|421.42|127.17|21.22|49.71
new-zealand|auckland|mobile|2degrees|2880|2023-10-01|33.4|275.33|81.59|18.68|29.74
new-zealand|auckland|mobile|One NZ|2884|2023-10-01|27.53|275.75|85.96|10.51|37.21
new-zealand|auckland|mobile|Spark|3649|2023-10-01|19.29|269.35|76.66|16.43|37.11
new-zealand|christchurch|mobile|2degrees|2880|2023-10-01|40.67|259.46|82.03|16.85|52.89
new-zealand|christchurch|mobile|One NZ|2884|2023-10-01|42.0|415.49|151.57|13.6|57.82
new-zealand|christchurch|mobile|Spark|3649|2023-10-01|19.06|232.28|70.08|12.0|64.49
new-zealand|wellington|mobile|2degrees|2880|2023-10-01|62.55|434.92|160.78|30.17|40.29
new-zealand|wellington|mobile|One NZ|2884|2023-10-01|31.52|268.59|76.64|14.02|54.14
new-zealand|wellington|mobile|Spark|3649|2023-10-01|61.59|489.14|169.18|42.51|45.39
nicaragua|managua|mobile|Claro|2852|2023-10-01|10.06|53.73|26.53|13.65|38.9
nicaragua|managua|mobile|Tigo|4001|2023-10-01|2.95|28.16|10.22|8.96|35.44
nicaragua|managua|mobile|Claro|2852|2023-10-01|9.86|54.31|26.07|13.73|39.01
nicaragua|managua|mobile|Tigo|4001|2023-10-01|2.89|27.29|10.0|9.06|35.39
nigeria|federal-capital-territory|mobile|9mobile|2847|2023-10-01|5.0|18.15|8.95|1.01|65.01
nigeria|federal-capital-territory|mobile|Airtel|2846|2023-10-01|13.96|64.82|31.23|10.55|48.3
nigeria|federal-capital-territory|mobile|Glo|2848|2023-10-01|3.32|20.99|8.37|4.78|75.61
nigeria|federal-capital-territory|mobile|MTN|2850|2023-10-01|25.19|252.45|83.08|22.36|49.03
nigeria|lagos|mobile|9mobile|2847|2023-10-01|5.23|17.04|9.72|1.2|48.82
nigeria|lagos|mobile|Airtel|2846|2023-10-01|11.45|61.45|26.92|10.04|33.75
nigeria|lagos|mobile|Glo|2848|2023-10-01|4.4|19.24|9.73|4.71|45.83
nigeria|lagos|mobile|MTN|2850|2023-10-01|16.23|174.24|45.35|15.71|34.18
nigeria|ogun-state|mobile|Airtel|2846|2023-10-01|6.53|42.7|19.3|8.05|35.72
nigeria|ogun-state|mobile|Glo|2848|2023-10-01|2.57|13.63|5.54|5.86|49.36
nigeria|ogun-state|mobile|MTN|2850|2023-10-01|10.26|80.83|30.43|13.43|39.16
nigeria|rivers|mobile|Airtel|2846|2023-10-01|9.91|56.48|25.41|10.41|67.26
nigeria|rivers|mobile|Glo|2848|2023-10-01|2.73|11.41|6.09|5.75|59.69
nigeria|rivers|mobile|MTN|2850|2023-10-01|10.12|63.01|25.44|11.86|70.24
nigeria|abuja|mobile|9mobile|2847|2023-10-01|5.2|18.48|9.02|1.01|64.7
nigeria|abuja|mobile|Airtel|2846|2023-10-01|14.89|67.08|32.01|11.03|47.73
nigeria|abuja|mobile|Glo|2848|2023-10-01|2.45|18.55|7.53|3.92|76.1
nigeria|abuja|mobile|MTN|2850|2023-10-01|30.1|267.55|93.32|22.76|48.54
nigeria|ikeja|mobile|9mobile|2847|2023-10-01|4.16|13.52|8.73|1.0|50.36
nigeria|ikeja|mobile|Airtel|2846|2023-10-01|12.48|62.51|27.28|10.82|32.49
nigeria|ikeja|mobile|Glo|2848|2023-10-01|5.25|18.7|10.81|5.42|41.24
nigeria|ikeja|mobile|MTN|2850|2023-10-01|18.36|232.56|48.23|16.92|35.33
nigeria|lagos|mobile|Airtel|2846|2023-10-01|10.36|56.87|24.23|9.79|34.44
nigeria|lagos|mobile|Glo|2848|2023-10-01|3.68|17.87|8.59|4.73|48.4
nigeria|lagos|mobile|MTN|2850|2023-10-01|13.74|128.26|38.78|15.27|34.1
nigeria|lekki|mobile|Airtel|2846|2023-10-01|16.63|83.88|39.53|9.76|31.04
nigeria|lekki|mobile|Glo|2848|2023-10-01|6.67|27.02|12.66|3.82|44.86
nigeria|lekki|mobile|MTN|2850|2023-10-01|25.53|277.24|84.63|16.07|28.86
north-macedonia|municipality-of-bitola|mobile|A1|2809|2023-10-01|28.34|132.13|63.81|30.49|37.0
north-macedonia|municipality-of-bitola|mobile|Makedonski Telekom|2810|2023-10-01|26.67|277.69|91.53|24.17|33.96
north-macedonia|skopje|mobile|A1|2809|2023-10-01|37.85|304.78|106.32|32.46|29.77
north-macedonia|skopje|mobile|Makedonski Telekom|2810|2023-10-01|37.14|257.41|94.44|25.97|29.16
north-macedonia|tetovo|mobile|A1|2809|2023-10-01|19.61|104.57|50.29|23.87|33.89
north-macedonia|tetovo|mobile|Makedonski Telekom|2810|2023-10-01|32.74|272.53|82.76|27.66|28.98
north-macedonia|bitola|mobile|A1|2809|2023-10-01|29.42|144.79|72.41|33.71|36.52
